session_id,group,spatial_model,units,median_rotation_test_gain,fraction_rotation_gain_positive,median_rotation_area_ratio,axis_censored_fraction,rotation_bound_fraction,fit_model_seconds,maximum_model_seconds
778998620,V1,aperture,123,4.06441766e-05,0.528455285,0.999423314,0.284552846,0.349593496,302.555683,5.8434401
778998620,V1,point,123,1.30685981e-08,0.504065041,0.993362299,0.0081300813,0.0162601626,24.9945562,2.03935682
779839471,HVA,aperture,148,2.24005745e-05,0.540540541,0.999990535,0.358108108,0.385135135,570.307474,55.8354815
779839471,HVA,point,148,-4.11426576e-06,0.472972973,0.998642798,0.182432432,0.202702703,33.8607011,3.72777316
779839471,V1,aperture,147,6.98010072e-05,0.612244898,1,0.360544218,0.43537415,391.403072,10.2303012
779839471,V1,point,147,8.35167229e-05,0.551020408,0.979934012,0.00680272109,0.0408163265,47.7901822,6.28535729
781842082,HVA,aperture,314,3.63522281e-05,0.52866242,0.993537698,0.21656051,0.191082803,724.529303,13.0142
781842082,HVA,point,314,2.62968259e-05,0.52866242,0.996840566,0.143312102,0.0828025478,50.2055585,0.68018085
781842082,V1,aperture,105,0.000133967264,0.571428571,0.997770875,0.257142857,0.314285714,271.551361,33.210453
781842082,V1,point,105,0.000284546951,0.542857143,0.993700412,0.00952380952,0.019047619,16.6292854,0.43431593
786091066,HVA,aperture,486,0.000331155726,0.602880658,1.00011777,0.203703704,0.201646091,1468.66362,222.63176
786091066,HVA,point,486,0.0003071696,0.594650206,1.0020114,0.0864197531,0.0802469136,92.4258836,3.85047856
786091066,V1,aperture,135,0.000283077075,0.592592593,1.0005762,0.259259259,0.362962963,364.565637,13.9221195
786091066,V1,point,135,0.000282148198,0.57037037,0.999088982,0,0.0592592593,30.0160063,2.70260958
787025148,HVA,aperture,124,3.24176892e-05,0.548387097,0.999996559,0.25,0.241935484,352.041796,12.1187362
787025148,HVA,point,124,-3.73553076e-05,0.467741935,0.998469082,0.10483871,0.112903226,30.2427416,3.28329907
787025148,V1,aperture,106,2.80112128e-05,0.528301887,0.999691136,0.245283019,0.330188679,261.10531,8.67458954
787025148,V1,point,106,0.000126540985,0.575471698,0.995448562,0.00943396226,0.0188679245,23.5942718,3.67855412
789848216,HVA,aperture,169,0.000641996941,0.644970414,0.996693155,0.183431953,0.189349112,366.657091,7.67564849
789848216,HVA,point,169,0.00066761557,0.650887574,1.00004447,0.118343195,0.130177515,27.2057574,0.544328246
789848216,V1,aperture,25,-4.12134657e-06,0.48,0.995257197,0.32,0.28,62.6068143,6.57021999
789848216,V1,point,25,-0.000270454482,0.44,0.979484407,0.04,0.12,6.18388779,1.70728731
791319847,HVA,aperture,256,0.000310513128,0.59765625,1,0.28125,0.26953125,726.603554,26.6006352
791319847,HVA,point,256,0.00035667743,0.58984375,1.00233862,0.16796875,0.12109375,56.2473034,3.50212419
791319847,V1,aperture,127,-6.52486086e-05,0.472440945,0.99970769,0.283464567,0.362204724,375.696384,18.108871
